"date","book_title","author","publisher","category","this_week_position","last_week_position","total_weeks","full_text"
2025-08-10,"I'M GLAD MY MOM DIED","Jennette McCurdy","Simon & Schuster.","Nonfiction",13,NA,90,"13       I'M GLAD MY MOM DIED, by Jennette McCurdy. (Simon & Schuster.) The actress                  --      90 and filmmaker describes her eating disorders and difficult relationship with her mother."
2025-08-10,"WHEN BREATH BECOMES AIR","Paul Kalanithi","Random House.","Nonfiction",14,NA,71,"14       WHEN BREATH BECOMES AIR, by Paul Kalanithi. (Random House.) A memoir by a                   --      71 physician who received a diagnosis of Stage IV lung cancer at the age of 36."
2025-08-10,"THE SERVICEBERRY","Robin Wall Kimmerer","Scribner.","Nonfiction",15,NA,27,"15       THE SERVICEBERRY, by Robin Wall Kimmerer. (Scribner.) The author of “Braiding               --      27 Sweetgrass” illuminates how the gift economy in the natural world works and draws lessons for our economy; with illustrations by John Burgoyne. Hawes Publications                                                                                     www.hawes.com"
2025-08-17,"ATMOSPHERE","Taylor Jenkins Reid","Ballantine.","Fiction",1,3,9,"1        ATMOSPHERE, by Taylor Jenkins Reid. (Ballantine.) In the summer of 1980, Joan            3        9 Goodwin begins training with a group of candidates for NASA’s space shuttle program."
2025-08-17,"NOT QUITE DEAD YET","Holly Jackson","Bantam.","Fiction",2,1,2,"2        NOT QUITE DEAD YET, by Holly Jackson. (Bantam.) With only a week left to live after      1        2 a violent attack on Halloween, Jet Mason is determined to solve her own murder."
2025-08-17,"SHE DIDN'T SEE IT COMING","Shari Lapena","Pamela Dorman.","Fiction",3,NA,1,"3        SHE DIDN'T SEE IT COMING, by Shari Lapena. (Pamela Dorman.) Suspicions arise             --       1 when Bryden seems to have disappeared from her luxury condo building without any of her belongings."
2025-08-17,"THE DEAL","Elle Kennedy","Bloom.","Fiction",4,NA,1,"4        THE DEAL, by Elle Kennedy. (Bloom.) Hannah Wells agrees to tutor the captain of the      --       1 hockey team whose grades are tanking if he agrees to go on a pretend date with her."
2025-08-17,"YOU BELONG HERE","Megan Miranda","Marysue Rucci.","Fiction",5,NA,1,"5        YOU BELONG HERE, by Megan Miranda. (Marysue Rucci.) When her daughter gets               --       1 a scholarship to the college where she experienced tragedy, Beckett Bowery suspects dangers will return."
2025-08-17,"MY FRIENDS","Fredrik Backman","Atria.","Fiction",6,10,13,"6        MY FRIENDS, by Fredrik Backman. (Atria.) A young woman looks into the story              10      13 behind a painting that was made 25 years ago and a small group of teens depicted in it; translated by Neil Smith."
2025-08-17,"ONYX STORM","Rebecca Yarros","Red Tower.","Fiction",7,7,28,"7        ONYX STORM, by Rebecca Yarros. (Red Tower.) The third book in the Empyrean               7       28 series. As enemies gain traction, Violet Sorrengail goes beyond the Aretian wards in search of allies."
2025-08-17,"NEVER FLINCH","Stephen King","Scribner.","Fiction",8,8,10,"8        NEVER FLINCH, by Stephen King. (Scribner.) Holly Gibney does double duty by              8       10 helping head off acts of retribution and protecting a women’s rights activist."
2025-08-17,"THE HAMPTONS LAWYER","James Patterson and Mike Lupica","Little, Brown.","Fiction",9,2,2,"9        THE HAMPTONS LAWYER, by James Patterson and Mike Lupica. (Little, Brown.)                2        2 The third book in the Jane Smith thriller series. Taking on a celebrity client proves dangerous."
2025-08-17,"WRATH OF THE DRAGONS","Olivia Rose Darling","Delacorte.","Fiction",10,NA,1,"10       WRATH OF THE DRAGONS, by Olivia Rose Darling. (Delacorte.) In this sequel to             --       1 “Fear the Flames,” Elowen and Cayden face violent attacks, shifting alliances and cutthroat diplomacy."
2025-08-17,"THE WEDDING PEOPLE","Alison Espach","Holt.","Fiction",11,9,35,"11       THE WEDDING PEOPLE, by Alison Espach. (Holt.) A woman who is down on her luck            9       35 forms an unexpected bond with the bride at a wedding in Rhode Island."
2025-08-17,"BROKEN COUNTRY","Clare Leslie Hall","Simon & Schuster.","Fiction",12,11,19,"12       BROKEN COUNTRY, by Clare Leslie Hall. (Simon & Schuster.) Beth must confront             11      19 her past when the man she once loved as a teenager returns to the village with his son."
2025-08-17,"AN INSIDE JOB","Daniel Silva","Harper.","Fiction",13,6,3,"13       AN INSIDE JOB, by Daniel Silva. (Harper.) The 25th book in the Gabriel Allon series.     6        3 The art world, the mob and the Vatican intersect when a Leonardo da Vinci painting goes missing."
2025-08-17,"THE ENCHANTED GREENHOUSE","Sarah Beth Durst","Bramble.","Fiction",14,4,3,"14       THE ENCHANTED GREENHOUSE, by Sarah Beth Durst. (Bramble.) In this novel set              4        3 in the world of “The Spellshop,” Terlu Perna must figure out a sorcerer’s secrets to save an island containing magical greenhouses."
2025-08-17,"GREAT BIG BEAUTIFUL LIFE","Emily Henry","Berkley.","Fiction",15,12,15,"15       GREAT BIG BEAUTIFUL LIFE, by Emily Henry. (Berkley.) A writer looking for her big        12      15 break competes against a Pulitzer winner to tell the story of an octogenarian with a storied past. Hawes Publications                                                                                  www.hawes.com"
2025-08-17,"ON POWER","Mark R Levin","Threshold Editions.","Nonfiction",1,NA,1,"1      ON POWER, by Mark R. Levin. (Threshold Editions.) The Fox News host considers              --       1 various facets of power and its effect on history."
2025-08-17,"THE IDAHO FOUR","James Patterson and Vicky Ward","Little, Brown.","Nonfiction",2,1,3,"2      THE IDAHO FOUR, by James Patterson and Vicky Ward. (Little, Brown.)                        1        3 Investigations into the murders of four University of Idaho students on Nov. 13, 2022."
2025-08-17,"THE ANXIOUS GENERATION","Jonathan Haidt","Penguin Press.","Nonfiction",3,2,71,"3      THE ANXIOUS GENERATION, by Jonathan Haidt. (Penguin Press.) A co-author of                 2        71 “The Coddling of the American Mind” looks at the mental health impacts that a phone- based life has on children."
2025-08-17,"EVERYTHING IS TUBERCULOSIS","John Green","Crash Course.","Nonfiction",4,3,20,"4      EVERYTHING IS TUBERCULOSIS, by John Green. (Crash Course.) The author of                   3        20 “The Anthropocene Reviewed” chronicles the fight against the deadly infectious disease tuberculosis."
2025-08-17,"GWYNETH","Amy Odell","Gallery.","Nonfiction",5,NA,1,"5      GWYNETH, by Amy Odell. (Gallery.) A biography of the actress and founder and               --       1 chief executive of the lifestyle brand Goop, Gwyneth Paltrow, by the author of “Anna.”"
2025-08-17,"ABUNDANCE","Ezra Klein and Derek Thompson","Avid Reader.","Nonfiction",6,5,20,"6      ABUNDANCE, by Ezra Klein and Derek Thompson. (Avid Reader.) A New York                     5        20 Times opinion columnist and a staff writer at The Atlantic evaluate obstacles to American progress."
2025-08-17,"OUTLIVE","Peter Attia with Bill Gifford","Harmony.","Nonfiction",7,4,111,"7      OUTLIVE, by Peter Attia with Bill Gifford. (Harmony.) A look at recent scientific          4       111 research on aging and longevity."
2025-08-17,"VACCINES","John Leake and Peter A McCullough","Skyhorse/Children’s Health Defense.","Nonfiction",8,NA,1,"8      VACCINES, by John Leake and Peter A. McCullough. (Skyhorse/Children’s Health               --       1 Defense.) An assessment of the history of vaccinations and an argument that the benefits of certain vaccines have been exaggerated by some."
2025-08-17,"BLACK AF HISTORY","Michael Harriot","Dey Street.","Nonfiction",9,8,10,"9      BLACK AF HISTORY, by Michael Harriot. (Dey Street.) A columnist at TheGrio.com             8        10 articulates moments in American history that center the perspectives and experiences of Black Americans."
2025-08-17,"BEING JEWISH AFTER THE DESTRUCTION OF GAZA","Peter Beinart","Knopf.","Nonfiction",10,NA,3,"10      BEING JEWISH AFTER THE DESTRUCTION OF GAZA, by Peter Beinart. (Knopf.)                     --       3 The editor at large of Jewish Currents and a contributing opinion writer at The New York Times evaluates potential narratives following the war in Gaza."
2025-08-17,"THE SERVICEBERRY","Robin Wall Kimmerer","Scribner.","Nonfiction",11,15,28,"11      THE SERVICEBERRY, by Robin Wall Kimmerer. (Scribner.) The author of “Braiding              15       28 Sweetgrass” illuminates how the gift economy in the natural world works and draws lessons for our economy; with illustrations by John Burgoyne."
2025-08-17,"MARK TWAIN","Ron Chernow","Penguin Press.","Nonfiction",12,10,12,"12      MARK TWAIN, by Ron Chernow. (Penguin Press.) The Pulitzer Prize-winning                    10       12 biographer portrays the life and career of the literary celebrity and political pundit."
2025-08-17,"ONE DAY, EVERYONE WILL HAVE ALWAYS BEEN AGAINST THIS","Omar El Akkad","Knopf.","Nonfiction",13,NA,3,"13      ONE DAY, EVERYONE WILL HAVE ALWAYS BEEN AGAINST THIS, by Omar El                           --       3 Akkad. (Knopf.) In his nonfiction debut, El Akkad looks at how the West responds to mass suffering."
2025-08-17,"BIG DUMB EYES","Nate Bargatze","Grand Central.","Nonfiction",14,NA,11,"14      BIG DUMB EYES, by Nate Bargatze. (Grand Central.) The Grammy Award-                        --       11 nominated comedian shares snippets from his life and career."
